City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Ancud,CL,82.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
391,Harper,LR,83.91,broken clouds,4.375,-7.7169,Screensaver
392,Sucua,EC,79.54,light rain,-2.4667,-78.1667,Hotel Orellana
400,Boffa,GN,88.5,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
401,Bossangoa,CF,86.31,clear sky,6.4926,17.4552,LA PERLE DE BOSTON
402,Kitgum,UG,83.19,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
412,Hobyo,SO,79.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
416,Soyo,AO,79.38,light rain,-6.1349,12.3689,Hotel Mpampa
428,Buta,CD,82.44,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
432,Puerto Madryn,AR,85.96,clear sky,-42.7692,-65.0385,Hotel Tolosa
437,Soroti,UG,80.89,overcast clouds,1.7146,33.6111,Strikers Hotel
440,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
441,Miandrivazo,MG,82.29,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
443,Acari,PE,80.08,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
445,Porto Novo,BJ,85.82,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
446,Kismayo,SO,80.33,overcast clouds,-0.3582,42.5454,Agan-Hotel
454,General Pico,AR,85.1,clear sky,-35.6566,-63.7568,Euskadi Hotel
457,Piacabucu,BR,83.21,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
458,Coruripe,BR,83.48,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
461,Bonthe,SL,84.25,broken clouds,7.5264,-12.505,Bonthe Holiday Village
462,Pedernales,DO,83.52,scattered clouds,18.0384,-71.744,Hotel Costa Marina
464,Mahibadhoo,MV,82.31,overcast clouds,3.7833,72.9667,Omadhoo Inn
465,Douentza,ML,81.55,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
467,Upington,ZA,75.58,few clouds,-28.4478,21.2561,River Place Manor
472,Isiro,CD,78.62,overcast clouds,2.7739,27.616,Guest House Hewa Bora
476,La Loma,PA,87.6,broken clouds,8.1667,-80.6333,cocobó abajo
482,Agbor,NG,88.74,scattered clouds,6.2518,6.1934,MIRAMAS HOTEL
484,Gonaives,HT,84.18,overcast clouds,19.45,-72.6833,Vertières Doux Séjour
485,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
486,Cabinda,AO,80.44,broken clouds,-5.55,12.2,Hotel Maiombe
487,Tignere,CM,76.32,few clouds,7.3667,12.65,SADECK
490,Male,MV,82.31,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
492,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
493,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
495,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
500,Garissa,KE,80.49,light rain,-0.4536,39.6401,Sharif Plaza Hotel
506,Bhiwandi,IN,76.86,clear sky,19.3,73.0667,Hotel Galaxy
514,Inhambane,MZ,76.41,overcast clouds,-23.865,35.3833,Oceano
521,Porlamar,VE,84.29,broken clouds,10.958,-63.8491,Hotel Bella Vista
524,Kisangani,CD,80.98,overcast clouds,0.5167,25.2,Grand Ramela Hotel
