City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Youghal,IE,51.95,-7.8506,51.67,100,100,17.74,overcast clouds
163,Varkkallai,IN,8.7341,76.7067,82.18,76,9,0.16,clear sky
164,Machico,PT,32.7,-16.7667,72.72,80,20,9.22,few clouds
165,Upernavik,GL,72.7868,-56.1549,22.98,69,66,8.72,broken clouds
166,Muisne,EC,0.6,-80.0333,80.71,81,100,8.25,overcast clouds
167,Pontypool,GB,51.7011,-3.0444,43.07,89,100,5.75,overcast clouds
168,Hwange,ZW,-18.3693,26.5019,68.34,97,100,3.98,overcast clouds
169,Kharan,PK,28.5833,65.4167,68.0,29,3,3.87,clear sky
170,Agirish,RU,61.9247,63.0231,-5.46,96,100,4.99,overcast clouds
171,Tasiilaq,GL,65.6145,-37.6368,17.24,54,2,5.08,clear sky
172,Maldonado,UY,-34.6667,-54.9167,75.22,32,0,14.03,clear sky
173,Kovur,IN,14.4833,79.9833,68.81,69,0,2.55,clear sky
174,Tabou,CI,4.423,-7.3528,83.66,61,63,8.05,broken clouds
175,Olafsvik,IS,64.8945,-23.7142,34.03,75,48,14.16,scattered clouds
176,Castrillon,ES,43.3979,-6.7922,60.21,80,5,4.63,clear sky
177,Troitsko-Pechorsk,RU,62.7084,56.1964,-3.12,100,99,1.39,overcast clouds
178,Namibe,AO,-15.1961,12.1522,72.05,70,85,14.52,overcast clouds
179,Ikot Ekpene,NG,5.1794,7.7108,89.64,33,25,2.98,scattered clouds
180,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,45,0,17.27,clear sky
181,Turukhansk,RU,65.8167,87.9833,2.59,94,100,18.1,light snow
182,Berea,US,41.3662,-81.8543,30.76,66,90,3.0,light snow
183,Astolfo Dutra,BR,-21.3153,-42.8622,86.67,62,81,4.47,broken clouds
184,Mulchen,CL,-37.7167,-72.2333,89.46,10,0,5.19,clear sky
185,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,93,40,1.99,scattered clouds
186,Rocha,UY,-34.4833,-54.3333,78.78,40,0,13.38,clear sky
187,Wattegama,LK,6.7989,81.4808,74.37,83,62,3.51,broken clouds
188,Ponta Do Sol,PT,32.6667,-17.1,72.72,83,18,8.3,few clouds
189,Caravelas,BR,-17.7125,-39.2481,79.0,89,71,11.05,broken clouds
190,Matagami,CA,49.7502,-77.6328,8.71,85,75,10.36,light snow
191,Ekibastuz,KZ,51.6667,75.3667,31.64,78,99,15.99,snow
192,Panorama,GR,40.5878,23.0315,37.08,49,20,1.99,few clouds
193,Awbari,LY,26.5921,12.7805,56.12,24,100,4.34,overcast clouds
194,Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,62,0,13.8,clear sky
195,Codrington,AU,-38.2667,141.9667,48.04,88,56,4.41,broken clouds
196,Callander,GB,56.2441,-4.2164,35.56,97,100,2.15,snow
197,Honningsvag,NO,70.9821,25.9704,26.35,93,75,21.85,light rain and snow
198,Zychlin,PL,52.244,19.6261,28.22,67,50,4.94,scattered clouds
199,Sisimiut,GL,66.9395,-53.6735,30.76,66,95,12.44,overcast clouds
200,Chiredzi,ZW,-21.05,31.6667,72.18,93,99,1.57,light rain
201,Fougeres,FR,48.35,-1.2,31.68,64,100,9.46,overcast clouds
202,Chala,TZ,-7.5833,31.2667,64.11,73,95,1.97,overcast clouds
203,Kristinehamn,SE,59.3098,14.1081,27.5,87,32,5.06,scattered clouds
204,Puksoozero,RU,62.5903,40.6066,10.54,95,100,6.11,light snow
205,Nyuksenitsa,RU,60.4128,44.2397,-6.54,100,98,4.0,overcast clouds
206,Iaciara,BR,-14.0958,-46.6317,79.72,80,61,4.56,light rain
207,Ushtobe,KZ,45.2514,77.9838,39.6,56,94,5.41,overcast clouds
208,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,100,15.52,overcast clouds
209,Shelburne,CA,44.0787,-80.2041,28.24,87,88,19.24,light snow
210,Yar-Sale,RU,66.8333,70.8333,14.68,94,100,13.0,overcast clouds
211,Hamilton,US,39.1834,-84.5333,36.19,51,1,5.01,clear sky
212,Abha,SA,18.2164,42.5053,55.65,88,0,5.75,clear sky
213,Aden,YE,12.7794,45.0367,77.13,69,49,7.07,scattered clouds
214,Titlagarh,IN,20.3,83.15,59.27,37,0,1.83,clear sky
215,Brandfort,ZA,-28.7001,26.4597,62.49,75,80,11.1,light rain
216,Douglas,US,41.3,-96.167,42.01,48,1,4.0,clear sky
217,Saint George,US,37.1041,-113.5841,55.54,75,1,0.0,clear sky
218,Clyde River,CA,70.4692,-68.5914,10.08,95,100,2.42,snow
219,Coquimbo,CL,-29.9533,-71.3436,67.73,68,20,13.8,few clouds
220,Aswan,EG,24.0934,32.907,60.17,37,36,11.39,scattered clouds
221,Kavaratti,IN,10.5669,72.642,79.9,60,43,3.36,scattered clouds
222,Benguela,AO,-12.5763,13.4055,78.37,68,85,8.61,overcast clouds
223,Saint-Francois,FR,46.4154,3.9054,31.44,98,90,4.61,fog
224,Toksovo,RU,60.1532,30.5165,9.86,73,33,5.3,scattered clouds
225,Ati,TD,13.2154,18.3353,80.51,16,0,11.07,clear sky
226,Minsk,BY,53.9,27.5667,11.95,90,94,7.76,overcast clouds
227,Boa Vista,BR,2.8197,-60.6733,91.78,48,100,7.11,overcast clouds
228,Buraydah,SA,26.326,43.975,57.52,23,75,5.88,broken clouds
229,Kapoeta,SS,4.7717,33.5903,86.45,40,90,7.05,overcast clouds
230,Kozhevnikovo,RU,56.2589,83.9714,4.24,93,18,5.93,few clouds
231,Galle,LK,6.0367,80.217,76.96,86,60,3.71,broken clouds
