City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Ardesen,TR,2021-12-21 13:23:54,41.1911,40.9875,42.76,83,100,15.9
146,Cayambe,EC,2021-12-21 13:23:54,0.05,-78.1333,51.06,85,93,2.93
147,Plettenberg Bay,ZA,2021-12-21 13:23:55,-34.0527,23.3716,76.23,69,15,7.83
148,Pangody,RU,2021-12-21 13:23:55,65.85,74.4859,-6.7,97,100,15.75
149,Portree,GB,2021-12-21 13:23:55,57.4129,-6.1942,40.86,95,100,3.51
150,Mehamn,NO,2021-12-21 13:23:56,71.0357,27.8492,28.58,79,100,4.38
151,Arkhipo-Osipovka,RU,2021-12-21 13:23:56,44.37,38.52,41.29,65,99,11.07
152,Mbanza-Ngungu,CD,2021-12-21 13:23:56,-5.25,14.8667,78.28,76,100,2.44
153,Boffa,GN,2021-12-21 13:23:57,10.1667,-14.0333,94.5,24,40,3.0
154,Salalah,OM,2021-12-21 13:23:57,17.0151,54.0924,78.89,61,0,6.91
155,Ubrique,ES,2021-12-21 13:23:57,36.6778,-5.446,70.86,55,100,4.29
156,Nanortalik,GL,2021-12-21 13:23:58,60.1432,-45.2371,41.79,85,100,28.77
157,Halver,DE,2021-12-21 13:23:58,51.1861,7.4982,39.25,75,0,1.72
158,Batsfjord,NO,2021-12-21 13:23:58,70.6345,29.7185,26.6,79,0,5.75
159,Melhus,NO,2021-12-21 13:23:59,63.2855,10.2781,35.17,88,100,4.16
160,Kavaratti,IN,2021-12-21 13:23:59,10.5669,72.642,80.82,64,9,6.85
161,Mahibadhoo,MV,2021-12-21 13:23:59,3.7833,72.9667,82.94,71,98,13.69
162,Nouadhibou,MR,2021-12-21 13:24:00,20.931,-17.0347,75.18,43,72,6.91
163,Puerto Baquerizo Moreno,EC,2021-12-21 13:22:45,-0.9,-89.6,69.53,91,95,9.19
164,Biharamulo,TZ,2021-12-21 13:24:00,-2.6319,31.3089,75.74,60,99,4.74
